filename,raga,spec_cent,spec_bw,bigram_diversity,trigram_diversity,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,delta_chroma_0,delta_chroma_1,delta_chroma_2,delta_chroma_3,delta_chroma_4,delta_chroma_5,delta_chroma_6,delta_chroma_7,delta_chroma_8,delta_chroma_9,delta_chroma_10,delta_chroma_11,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk1,Behāg,1633.6833467980232,1581.4895626574264,0.16440677966101694,0.27843803056027167,0.16996388137340546,0.49824103713035583,0.38821253180503845,0.18997201323509216,0.266998291015625,0.1842924803495407,0.40573498606681824,0.24065250158309937,0.13172312080860138,0.14297519624233246,0.14031484723091125,0.14485180377960205,-0.00033108802745118737,3.78472323063761e-05,-0.00022731405624654144,-0.0001289016945520416,-9.087843500310555e-05,7.575035124318674e-05,-6.483757897512987e-05,-0.0006489646038971841,-0.00020557701645884663,-7.769421063130721e-05,-0.00024599742027930915,-0.0005593468085862696,-308.2502136230469,104.22463989257812,-62.72478485107422,-15.079649925231934,-27.954050064086914,-18.13511848449707,-13.399211883544922,-13.866942405700684,-14.601469993591309,-5.240365505218506,-7.617198944091797
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk2,Behāg,1591.5808328449461,1545.7021266666115,0.16468590831918506,0.31462585034013607,0.19251792132854462,0.4058128893375397,0.47463199496269226,0.20458023250102997,0.2840439975261688,0.17204813659191132,0.24393068253993988,0.15538519620895386,0.15230028331279755,0.22587795555591583,0.1335805505514145,0.1462194323539734,0.0006822223076596856,-0.00019482715288177133,-0.00040516239823773503,1.040001825458603e-05,3.92126594306319e-06,-8.090066694421694e-05,-0.00010804804333020002,-4.972902752342634e-05,-5.316303941071965e-05,-0.00025232104235328734,-0.0004935514880344272,-6.999338074820116e-05,-300.79473876953125,107.59660339355469,-63.28340148925781,-13.116435050964355,-26.162893295288086,-19.459760665893555,-13.04763412475586,-12.117048263549805,-19.190580368041992,-7.544715404510498,-7.452860355377197
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk3,Behāg,1566.6538031572036,1519.2740252273943,0.1903114186851211,0.35181975736568455,0.21131864190101624,0.3588087856769562,0.42360353469848633,0.1889554262161255,0.280746191740036,0.1894577592611313,0.276723176240921,0.18110018968582153,0.1714084893465042,0.2564094364643097,0.15986154973506927,0.16856001317501068,-0.0005239511374384165,-0.0009606233215890825,1.6350240912288427e-05,0.0003291582688689232,0.00044184396392665803,0.00019219900423195213,0.000398345262510702,0.0006764318095520139,-2.2723347683495376e-06,-0.0002501324051991105,-4.763753531733528e-05,-2.3558690372738056e-05,-301.0968322753906,109.73672485351562,-62.67405319213867,-14.277901649475098,-24.237964630126953,-21.0589599609375,-13.237008094787598,-11.049646377563477,-21.133121490478516,-9.004867553710938,-7.70909309387207
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk4,Behāg,1544.7185645884858,1484.4540094745355,0.21258503401360543,0.3986371379897785,0.1810515969991684,0.3192868232727051,0.34201329946517944,0.19894371926784515,0.3237905502319336,0.1924174726009369,0.30404677987098694,0.21129636466503143,0.17886413633823395,0.22838208079338074,0.1291479617357254,0.1551462858915329,0.00011715641448972747,-6.325596041278914e-05,-0.0006847898475825787,-0.0005261109909042716,0.00021789995662402362,0.00029840951901860535,-1.1094375622633379e-05,2.6175452148891054e-05,9.69714983511949e-06,0.00014538652612827718,0.000431805761763826,0.0003970092802774161,-303.7995300292969,111.04244995117188,-65.34330749511719,-16.224044799804688,-26.966838836669922,-23.099401473999023,-11.9246244430542,-11.060447692871094,-20.938844680786133,-7.3709940910339355,-6.702645778656006
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk5,Behāg,1481.8689636563627,1436.3038755903683,0.21616871704745166,0.4137323943661972,0.17715556919574738,0.35792386531829834,0.31308990716934204,0.20755068957805634,0.36089617013931274,0.18209819495677948,0.24135011434555054,0.19417668879032135,0.17908887565135956,0.2134932577610016,0.11200744658708572,0.15492169559001923,2.137550836778246e-05,5.535942909773439e-05,8.138548582792282e-05,0.000145159792737104,0.0007848785608075559,0.0002376561751589179,-0.0005621034651994705,-0.0003118534223176539,5.977859109407291e-05,0.00016247217718046159,1.3246348316897638e-05,-0.00012380255793686956,-310.2790832519531,117.51084899902344,-63.76069259643555,-14.498690605163574,-27.904489517211914,-24.469482421875,-9.67693042755127,-12.931767463684082,-19.565616607666016,-6.527369976043701,-6.554442405700684
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk6,Behāg,1439.2116981394868,1412.3014331167317,0.18425760286225404,0.36917562724014336,0.20535948872566223,0.36445945501327515,0.33881980180740356,0.18829387426376343,0.30144453048706055,0.18956349790096283,0.2773210406303406,0.18098846077919006,0.1432330161333084,0.17730331420898438,0.12257829308509827,0.18017975986003876,0.00014985156303737313,-1.798657831386663e-05,-3.567181192920543e-05,-0.0008624210604466498,-0.00046954970457591116,7.81623093644157e-05,1.4373392787092598e-06,-2.497787500033155e-05,-0.00021382771956268698,9.823604341363534e-05,0.0004262138099875301,0.0007717224070802331,-312.0707092285156,123.64469146728516,-66.79067993164062,-14.414403915405273,-27.52416229248047,-21.325132369995117,-12.231877326965332,-13.619915008544922,-17.8103084564209,-5.226035118103027,-7.65669059753418
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk7,Behāg,1450.1928597877588,1477.3751612880624,0.18246869409660108,0.3709677419354839,0.23879262804985046,0.32417693734169006,0.38807231187820435,0.21941670775413513,0.2752407491207123,0.20901845395565033,0.3073112368583679,0.2624649107456207,0.21520254015922546,0.20385444164276123,0.15919622778892517,0.19719894230365753,-2.7632104320218787e-05,0.00023332801356445998,-0.0004709258791990578,-0.0006967828376218677,-0.0005395426996983588,-0.00042447401210665703,-0.0007173430058173835,-0.0005362533265724778,-5.5820695706643164e-05,0.00023060492821969092,0.0008046559523791075,0.00011388034909032285,-317.4106140136719,126.03120422363281,-59.43107223510742,-11.334864616394043,-18.773731231689453,-19.955625534057617,-13.441346168518066,-12.966856002807617,-14.961493492126465,-4.33496618270874,-9.960359573364258
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk8,Behāg,1399.0407949962744,1520.493629104332,0.17491166077738515,0.3185840707964602,0.20408812165260315,0.3835654556751251,0.4217401146888733,0.22506284713745117,0.25859713554382324,0.19915997982025146,0.32999008893966675,0.289930522441864,0.24804255366325378,0.23704271018505096,0.20141291618347168,0.18446241319179535,-0.00030003482243046165,-0.00012593613064382225,0.0005811596056446433,0.00015120166062843055,0.00010297147673554718,-6.687080713163596e-06,2.4387158191530034e-05,5.45095099369064e-05,-4.6548480895580724e-05,-0.0002280600310768932,-0.00029709329828619957,-0.0005949384067207575,-307.4721374511719,135.4877166748047,-45.68150329589844,-1.0985181331634521,-11.749859809875488,-13.725250244140625,-11.007598876953125,-13.273189544677734,-14.9716157913208,-6.7382073402404785,-12.257280349731445
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk9,Behāg,1418.1685237996319,1567.4585285217786,0.1927927927927928,0.33574007220216606,0.17293213307857513,0.3939416706562042,0.5252396464347839,0.24020668864250183,0.2242056280374527,0.1513226181268692,0.26206186413764954,0.22013995051383972,0.20491690933704376,0.24767190217971802,0.18716126680374146,0.15660229325294495,-7.014921720838174e-05,-0.00025389716029167175,-0.0005106065655127168,-6.156192102935165e-05,0.0009827262256294489,0.0002641036408022046,-0.00014497026859316975,-0.00012775298091582954,-0.0002738428011070937,-0.0005372170126065612,-0.0007851991103962064,-0.00011664652993204072,-270.82879638671875,133.95387268066406,-39.59596633911133,0.037254877388477325,-8.54134750366211,-8.296334266662598,-9.229352951049805,-10.952909469604492,-13.5383882522583,-4.575039386749268,-9.790143966674805
Vignesh Ishwar - Idhuthaano Thillai Sthalam_chunk10,Behāg,1557.1726324370964,1684.2631013866333,0.2505353319057816,0.3927038626609442,0.26696500182151794,0.5001606941223145,0.5268207788467407,0.22194954752922058,0.22501949965953827,0.13980528712272644,0.19415727257728577,0.17934703826904297,0.2643326222896576,0.2857553958892822,0.17725329101085663,0.2027255743741989,6.745653081452474e-05,0.0004510815779212862,-0.0006201186333782971,-8.822141535347328e-05,-8.038691703404766e-06,4.942006853525527e-05,3.8403131839004345e-06,-1.6673700883984566e-05,0.00011354753951309249,3.803726576734334e-05,1.7290842151851393e-05,-4.6704055421287194e-05,-254.78985595703125,125.96157836914062,-39.43998718261719,2.2874937057495117,-7.135993957519531,-4.38451623916626,-10.279918670654297,-7.986450672149658,-9.884099006652832,-2.4117114543914795,-6.490189552307129
